Sr No.,Text,Emotion,StartTime,EndTime
1,also I was the point person on my company’s transition from the KL-5 to GR-6 system.,neutral,"00:16:16,059","00:16:21,731"
2,"Yet the dog had grown old and less capable , and one day the gillie had come and explained with great sorrow that the dog had suffered a stroke , and must be put down . ",sadness,"00:36:49,290","00:36:51,791"
3,When I get into the tube or the train without paying for the ticket.,fear,"00:36:52,376","00:36:53,543"
4,"This last may be a source of considerable disquiet and one might not at first see how such obviously ` immoral "" content could be defended as part of a system of morality . ",fear,"00:36:53,545","00:36:55,000"
5,"She disliked the intimacy he showed towards some of them , was resentful of the memories they shared of which she was not a part , and felt excluded . ",anger,"0:36:59,425","0:37:01,439"
6,When my family heard that my Mother's cousin who lives in England wrote us to tell that he had cancer of the lymph glands.,sadness,"00:05:50,350","00:05:51,433"
7,Finding out I am chosen to collect norms for Chinese aphasia (I will contribute to China's catching up with the West in neuropsychology).,joy,"0:05:52,435","0:05:53,897"
8,"A spokesperson said : ` Glen is furious that the new ` Anarchy "" promo features footage of Sid Vicious as well as himself . ",anger,"0:05:53,897","0:05:55,743"
9,Good to know.,neutral,"00:16:59,477","00:17:00,478"
10,We can go into detail,neutral,"00:17:00,478","00:17:02,719"
11,No don’t I beg of you!,fear,"00:17:02,856","00:17:04,858"
12,"All right then, we’ll have a definite answer for you on Monday, but I think I can say with some confidence, you’ll fit in well here.",neutral,"00:17:05,025","00:17:13,324"
13,Really?!,surprise,"00:17:13,491","00:17:16,536"
14,Absolutely.  You can relax,neutral,"00:17:17,579","00:17:20,707"
15,But then who? The waitress I went out with last month?,surprise,"00:36:40,364","00:36:42,824"
16,You know? Forget it!,sadness,"00:36:44,368","00:36:46,578"
17,"No-no-no-no, no! Who, who were you talking about?",surprise,"00:36:44,368","00:36:49,122"
18,"No, I-I-I-I don't, I actually don't know",fear,"00:36:49,290","00:36:51,791"
19,Ok!,neutral,"00:36:52,376","00:36:53,543"
20,"All right, well...",neutral,"00:36:53,545","00:36:55,000"
23,"Yeah, sure!",neutral,"0:36:59,425","0:37:01,439"
24,"Hey, Mon.",neutral,"00:05:50,350","00:05:51,433"
25,Hey-hey-hey. You wanna hear something that sucks.,neutral,"0:05:52,435","0:05:53,897"
26,Do I ever.,joy,"0:05:53,897","0:05:55,743"
27,Chris says they’re closing down the bar.,sadness,"0:05:57,023","0:05:58,734"
28,No way!,surprise,"0:05:58,734","0:05:59,774"
29,"Yeah, apparently they’re turning it into some kinda coffee place.",neutral,"00:05:59,942","00:06:02,152"
30,Just coffee! Where are we gonna hang out now?,disgust,"00:06:02,362","00:06:07,157"
31,Got me.,sadness,"00:06:04,489","00:06:07,157"
32,Can I get a beer.,neutral,"0:06:07,367","0:06:08,035"
33,"Hey, did you pick a roommate?",neutral,"0:06:08,035","0:06:10,019"
34,You betcha!,joy,"0:06:10,161","0:06:10,973"
35,Is it the Italian guy?,neutral,"0:06:10,973","0:06:12,167"
36,"Um-mm, yeah right!",joy,"00:06:12,288","00:06:13,497"
37,"Oh my God, oh my God! Poor Monica!",surprise,"00:10:16,115","00:10:18,450"
38,"What, what, what?!",surprise,"0:10:18,618","0:10:19,750"
39,What?!,surprise,"0:10:19,750","0:10:20,966"
40,He was with her when he wrote this poem.,neutral,"00:10:21,078","00:10:23,496"
41,"Look,  'My vessel so empty with nothing inside.",neutral,"00:10:23,664","00:10:26,499"
42,"Now that I've touched you, you seem emptier still.'",neutral,"00:10:26,667","00:10:29,586"
43,"He thinks Monica is empty, she is the empty vase!",surprise,"00:10:29,754","00:10:32,672"
45,"Oh, totally. Oh, God, oh, she seemed so happy too.",sadness,"00:10:36,385","00:10:39,137"
46,Done.,neutral,"00:10:39,680","00:10:41,181"
47,Hey!,surprise,"0:20:23,931","0:20:24,891"
48,Hi!,joy,"0:20:24,891","0:20:25,028"
49,What are you doing here?,surprise,"00:20:25,140","00:20:26,265"
50,"Ah y'know, this building is on my paper route so I...",neutral,"00:20:26,433","00:20:29,185"
51,Oh.,neutral,"0:20:29,394","0:20:30,771"
52,Hi.,neutral,"0:20:30,771","0:20:30,873"
53,Hi.,neutral,"0:20:30,873","0:20:31,135"
54,How’d did it go?,neutral,"00:20:31,188","00:20:32,230"
55,"Oh well, the woman I interviewed with was pretty tough, but y'know thank God Mark coached me, because once I started talking about the fall line, she got all happy and wouldn’t shut up.",joy,"00:20:32,397","00:20:40,446"
56,I’m so proud of you.,joy,"0:20:40,614","0:20:41,991"
57,Me too!,joy,"0:20:41,991","0:20:43,543"
58,"Listen, I’m ah, I’m sorry I’ve been so crazy and jealous and, it’s just that I like you a lot, so...",sadness,"00:20:44,284","00:20:53,584"
59,I know.,neutral,"00:20:53,752","00:20:54,794"
60,Yeah.,neutral,"0:20:54,962","0:20:55,380"
61,Yeah.,neutral,"0:20:55,380","0:20:56,057"
62,Ameri-can.,neutral,"0:22:18,545","0:22:20,297"
63,Ameri-ccan.,neutral,"0:22:20,297","0:22:20,476"
64,Ameri-can. Y'know it’s a,neutral,"00:22:20,589","00:22:23,507"
65,Everybody!!,surprise,"00:22:25,844","00:22:28,679"
66,Good job Joe! Well done! Top notch!,joy,"00:12:24,315","00:12:27,526"
67,You liked it? You really liked it?,surprise,"0:12:28,194","0:12:29,796"
68,"Oh-ho-ho, yeah!",joy,"0:12:29,796","0:12:31,501"
69,Which part exactly?,neutral,"0:12:31,655","0:12:33,657"
70,The whole thing! Can we go?,neutral,"0:12:33,657","0:12:36,243"
71,"Oh no-no-no, give me some specifics.",anger,"00:12:36,368","00:12:38,746"
72,"I love the specifics, the specifics were the best part!",joy,"00:12:38,954","00:12:43,000"
73,"Hey, what about the scene with the kangaroo? Did-did you like that part?",neutral,"00:12:43,209","00:12:48,255"
74,I was surprised to see a kangaroo in a World War I epic.,surprise,"00:12:49,298","00:12:54,929"
75,You fell asleep!!,anger,"00:12:55,930","00:12:56,931"
76,There was no kangaroo!,anger,"0:12:58,432","0:12:59,809"
77,They didn’t take any of my suggestions!,anger,"0:12:59,809","0:13:03,196"
78,That’s for coming buddy.,neutral,"0:13:05,940","0:13:07,242"
79,I’ll see you later.,neutral,"0:13:07,242","0:13:08,202"
80,Don’t go!,sadness,"0:13:08,202","0:13:08,804"
81,I’m sorry.,sadness,"0:13:08,804","0:13:09,526"
82,I’m so sorry!,sadness,"0:13:09,526","0:13:10,832"
83,Look!,surprise,"0:13:10,945","0:13:11,407"
84,This guy fell asleep!,anger,"0:13:11,407","0:13:12,589"
85,He fell asleep too!,anger,"0:13:12,589","0:13:13,215"
86,Be mad at him!,anger,"0:13:13,215","0:13:14,108"
87,"Or, call an ambulance.",anger,"00:13:16,367","00:13:18,244"
88,"Okay, look, I think we have to tell Rachel she messed up her dessert.",neutral,"00:12:51,020","00:12:53,897"
89,"What?! What is with everybody? It’s Thanksgiving, not...Truth-Day!",anger,"00:12:54,106","00:12:58,193"
90,"Yes, and it is my dying wish to have that ring.",neutral,"00:19:17,865","00:19:21,951"
91,"See, if I’m not buried with that ring then my spirit is going to wander the nether world for all eternity",neutral,"00:19:17,865","00:19:25,204"
92,"Okay, that’s enough honey!",neutral,"00:19:25,372","00:19:26,706"
93,I don’t know.  Let me see the ring.,neutral,"00:19:28,375","00:19:34,964"
94,"Great! Okay, here.",joy,"00:19:32,129","00:19:34,964"
95,All right.,neutral,"0:19:37,342","0:19:39,934"
96,Thank you. Thank you. Thank you!  And,joy,"0:19:39,934","0:19:40,074"
97,What've you been up to?,neutral,"00:01:51,903","00:01:54,738"
98,"Oh, you know, the usual, teaching aerobics, partying way too much.",neutral,"00:01:54,948","00:02:01,203"
99,"Oh, and in case you were wondering, those are my legs on the new James Bond poster.",neutral,"00:02:01,621","00:02:07,459"
100,Can you hold on a moment? I have another call.  I love her.,joy,"00:02:10,547","00:02:14,758"
101,I know.,neutral,"00:02:13,091","00:02:14,758"
102,I'm back.,neutral,"0:02:16,261","0:02:16,903"
103,"So, are we gonna get together or what?",neutral,"0:02:16,903","0:02:19,185"
104,"Um, absolutely. Uh, how 'bout tomorrow afternoon? Do you know uh, Central Perk in the Village, say, five-ish?",neutral,"00:02:19,347","00:02:25,561"
105,"Great, I'll see you then.",neutral,"00:02:25,770","00:02:28,647"
106,Ok.  Ok. Having a phone has finally paid off.,joy,"00:02:32,318","00:02:34,528"
107,"Even though you do do a good Bob impression, I'm thinkin' when she sees you tomorow, she's probably gonna realize, ""Hey, you're not Bob.""",neutral,"00:02:36,823","00:02:43,620"
108,"I'm hoping that when Bob doesn't show up, she will seek comfort in the open arms of the wry stranger at the next table.",neutral,"00:02:47,375","00:02:52,337"
109,Oh my god. You are pure evil.,disgust,"00:02:52,547","00:02:55,299"
110,"Ok, pure evil , horny and alone . I've done this",anger,"00:02:56,634","00:03:05,058"
111,Nobody!,anger,"0:11:57,091","0:11:58,551"
112,Nobody respects the bucket!,anger,"0:11:58,551","0:11:59,947"
113,You wouldn't believe what people put in here!,anger,"00:12:00,553","00:12:02,721"
